user_id,friend_list
3371,[2975]
24,[2665]
4402,[38]
4295,[4694]
7087,[7117]
3981,[3937]
676,[5626]
6509,[2257]
5119,[6845]
2729,[6802]
578,"[1848, 6260]"
6055,"[730, 1103]"
670,[3732]
1796,[2876]
3773,[6147]
6745,[2278]
7126,"[4202, 5352]"
4636,[3312]
6214,[6013]
1908,[6156]
6858,[4267]
5293,[2315]
2493,"[2837, 293]"
5052,[1573]
5250,"[2559, 6252, 1386, 1994, 841]"
3721,[6013]
2441,[858]
1502,"[1400, 3474]"
5578,[4443]
1653,"[478, 458, 2946, 6311]"
3339,[534]
65,[2305]
3234,[117]
5231,[1017]
1952,[1600]
471,[115]
1485,[2361]
2989,[2340]
1925,"[5643, 620]"
2678,[2348]
458,"[1653, 2946, 6311]"
1483,[4500]
1651,[6041]
5121,"[5272, 3224]"
5272,[5121]
839,[1904]
1034,[60]
730,[6055]
3097,[5920]
2296,[6027]
1234,[2658]
4797,"[2160, 1218]"
4668,"[284, 1218, 2160]"
5412,[599]
2657,[5513]
4551,[6337]
1547,"[3564, 7033]"
3515,"[2883, 176]"
6738,[625]
1868,[4143]
1409,[6370]
931,[5430]
293,[2493]
5534,[6746]
1606,[4534]
6781,[4694]
2461,"[6252, 1770, 1994]"
7063,[6080]
4948,[4706]
3829,[5538]
1509,[5003]
2999,[5560]
334,[4808]
3457,[6304]
4836,[726]
5916,"[5114, 6699]"
990,[1102]
4808,[334]
6385,[4083]
1922,[6203]
5511,"[4986, 6020]"
115,[471]
652,[4053]
4632,[6661]
5003,[1509]
5879,[1503]
1415,[5513]
5038,[2246]
4170,[1722]
228,[4480]
6051,"[2605, 3556, 715]"
756,[5415]
1783,"[7068, 1281]"
5223,[3827]
6699,"[281, 5114, 5916]"
6684,[3569]
5033,[6275]
5735,[6597]
2975,"[4696, 3371]"
2151,[3676]
4986,[5511]
567,[5443]
1690,[3922]
6229,"[3694, 2187, 1128, 476, 6164]"
6661,[4632]
3224,[5121]
2049,[264]
4358,[213]
38,"[4402, 4264, 450, 2382]"
5932,[6679]
2876,[1796]
1718,[362]
281,"[4110, 5114, 6699]"
6027,"[264, 2296, 4892]"
5302,[1267]
5282,"[2629, 5943]"
5643,"[620, 1925]"
4680,[240]
1692,[6000]
6337,[4551]
5513,"[2657, 1415]"
4837,[356]
4267,"[6858, 1486]"
2768,[4033]
1573,[5052]
3756,[1589]
6370,[1409]
798,[363]
4930,[4741]
5894,[2023]
5626,[676]
858,[2441]
2389,[3833]
4694,"[6781, 4295]"
6845,[5119]
3054,[2431]
5941,"[5262, 4000]"
3304,[4480]
1060,[1639]
4074,[4794]
143,"[2453, 1583]"
3676,[2151]
1385,[6600]
7075,[5644]
1959,"[67, 5065]"
1223,[426]
2257,[6509]
1017,"[4738, 5231]"
1848,"[578, 6260]"
4083,[6385]
4730,[264]
193,[5241]
3569,[6684]
1737,[2697]
4696,[2975]
4052,[3698]
518,[265]
2305,[65]
6866,"[2212, 4925]"
748,"[2431, 3252]"
5778,[4600]
7117,[7087]
6252,"[5250, 2461]"
426,[1223]
3644,[5758]
726,[4836]
3665,[4541]
7174,[6571]
5525,[2809]
2605,"[6051, 3556, 715]"
4602,[4908]
4053,[652]
2629,"[5282, 5943]"
94,[5523]
4741,[4930]
