,0,1,2,3,4,5,6
1,97,80,81,80,84,94,84
2,89,89,83,76,89,96,87
3,96,77,86,91,90,85,84
4,83,75,84,85,78,84,86
5,95,79,82,85,80,85,83
6,87,95,89,91,76,87,77
7,96,77,86,91,90,85,84
8,88,88,83,77,89,95,87
9,87,90,89,83,82,82,78
10,88,96,92,87,79,89,86
11,83,73,88,90,88,84,87
12,96,81,76,85,82,79,86
13,88,87,79,79,88,95,82
14,73,82,82,84,82,85,84
15,88,90,97,85,94,84,83
16,74,86,81,92,78,90,87
17,74,80,86,90,92,85,84
18,86,90,79,92,80,90,84
19,95,79,82,85,80,85,83
20,87,90,89,83,82,82,78
21,83,79,93,84,75,81,84
22,73,87,82,93,76,90,82
23,86,90,79,92,80,90,84
24,74,84,83,83,82,83,93
25,74,80,86,90,92,85,84
26,73,82,82,84,82,85,84
27,73,82,82,84,82,85,84
28,86,84,84,90,95,85,81
29,88,91,84,80,87,86,94
30,73,82,82,84,82,85,84
31,73,82,82,84,82,85,84
32,74,84,83,83,82,83,93
33,87,86,88,86,97,88,86
34,84,75,84,81,80,91,88
35,74,80,86,90,92,85,84
36,73,82,82,84,82,85,84
37,86,87,78,84,86,86,77
38,95,79,82,85,80,85,83
39,96,77,86,91,90,85,84
40,73,82,82,84,82,85,84
41,73,82,83,84,83,84,83
42,74,87,91,84,78,82,77
43,73,82,82,84,82,85,84
44,88,92,92,79,84,84,82
45,83,75,84,85,78,84,86
46,74,80,86,90,92,85,84
47,86,91,80,93,79,91,79
48,89,85,83,83,99,96,82
49,74,80,86,90,92,85,84
50,86,91,80,93,79,91,79
51,74,90,90,90,75,86,84
52,95,79,82,85,80,85,83
53,73,82,82,84,82,85,84
54,97,79,82,81,82,91,85
55,73,82,82,84,82,85,84
56,89,89,83,76,89,96,87
57,73,82,82,84,82,85,84
58,74,80,86,90,92,85,84
59,73,82,81,85,82,86,83
60,89,89,83,76,89,96,87
61,74,86,81,92,78,90,87
62,73,82,82,84,82,85,84
63,95,79,82,85,80,85,83
64,96,77,86,91,90,85,84
65,95,79,82,85,80,85,83
66,87,93,80,91,80,88,93
67,73,82,82,84,82,85,84
68,96,77,86,91,90,85,84
69,95,79,82,85,80,85,83
70,97,90,85,92,73,80,82
71,87,90,89,83,82,82,78
72,83,75,84,85,78,84,86
73,74,82,81,83,83,87,83
74,74,80,86,90,92,85,84
75,83,75,84,85,78,84,86
76,87,93,80,91,80,88,93
77,86,87,78,84,86,86,77
78,73,82,82,84,82,85,84
79,74,86,81,92,78,90,87
80,73,82,82,84,82,85,84
81,73,81,87,91,91,85,80
82,73,82,82,84,82,85,84
83,73,82,82,84,82,85,84
84,83,75,84,85,78,84,86
85,74,80,86,90,92,85,84
86,74,84,85,81,84,88,88
87,97,79,82,81,82,91,85
88,95,79,82,85,80,85,83
89,87,95,88,91,78,87,81
90,73,82,82,84,82,85,84
91,74,86,81,92,78,90,87
92,96,77,86,91,90,85,84
93,73,82,82,84,82,85,84
94,87,95,88,91,78,87,81
95,95,79,82,85,80,85,83
96,73,82,82,84,82,85,84
97,87,95,88,91,78,87,81
98,86,87,78,84,86,86,77
99,74,86,81,92,78,90,87
100,95,79,82,85,80,85,83
101,95,79,82,85,80,85,83
102,86,90,79,92,80,90,84
103,95,79,82,85,80,85,83
104,74,80,86,90,92,85,84
105,83,75,84,85,78,84,86
106,98,81,85,77,85,95,88
107,86,87,78,84,86,86,77
108,95,79,82,85,80,85,83
109,74,86,92,83,80,81,80
110,74,86,81,92,78,90,87
111,87,93,93,80,82,85,78
112,73,82,81,85,82,86,83
113,73,82,82,84,82,85,84
114,95,79,82,85,80,85,83
115,86,87,78,84,86,86,77
116,86,87,80,85,83,86,76
117,96,77,86,91,90,85,84
118,95,79,82,85,80,85,83
119,73,82,82,84,82,85,84
120,73,82,82,84,82,85,84
121,96,77,86,91,90,85,84
122,74,80,86,91,92,86,84
123,73,82,82,84,82,85,84
124,95,79,82,85,80,85,83
125,89,89,83,76,89,96,87
126,73,82,82,84,82,85,84
127,86,87,78,84,86,86,77
128,96,77,86,91,90,85,84
129,73,82,82,84,82,85,84
130,74,80,86,90,92,85,84
131,86,90,79,92,80,90,84
132,83,75,84,85,78,84,86
133,86,87,78,84,86,86,77
134,95,79,82,85,80,85,83
135,86,87,78,84,86,86,77
136,86,87,78,84,86,86,77
137,73,82,82,84,82,85,84
138,74,86,91,83,80,81,81
139,74,80,86,90,92,85,84
140,95,79,82,85,80,85,83
141,73,82,82,84,82,85,84
142,73,82,82,84,82,85,84
143,95,79,82,85,80,85,83
144,87,90,89,83,82,82,78
145,88,88,83,77,89,95,87
146,73,82,82,84,82,85,84
147,73,82,82,84,82,85,84
148,73,87,82,93,76,90,82
149,73,82,82,84,82,85,84
150,73,80,87,89,93,84,83
151,87,88,74,84,87,79,83
152,97,86,95,81,78,84,81
153,73,82,82,84,82,85,84
154,73,82,83,84,83,84,83
155,95,79,82,85,80,85,83
156,95,79,83,85,81,84,82
157,88,88,83,77,89,95,87
158,73,82,82,84,82,85,84
159,89,95,93,79,84,83,91
160,73,86,82,91,78,89,86
161,86,87,78,84,86,86,77
162,87,93,93,96,88,86,82
163,86,92,79,94,78,92,78
164,87,95,88,91,78,87,81
165,83,75,84,85,78,84,86
166,73,82,82,84,82,85,84
167,76,86,99,85,92,83,86
168,76,84,85,77,86,94,90
169,87,95,89,91,76,87,77
170,95,79,82,85,80,85,83
171,88,97,89,90,78,84,90
172,89,95,93,78,84,82,91
173,95,79,82,85,80,85,83
174,73,82,82,84,82,85,84
175,95,79,82,85,80,85,83
176,87,88,74,84,87,79,83
177,95,79,82,85,80,85,83
178,74,80,86,90,92,85,84
179,95,79,82,85,80,85,83
180,88,91,88,79,84,88,79
181,74,80,86,90,92,85,84
182,86,90,79,92,80,90,84
183,73,82,82,84,82,85,84
184,87,93,80,91,80,88,93
185,95,79,82,85,80,85,83
186,95,79,82,85,80,85,83
187,87,88,74,84,87,79,83
188,95,79,82,85,80,85,83
189,86,90,79,92,80,90,84
190,73,82,82,84,82,85,84
191,86,87,78,84,86,86,77
192,73,82,82,84,82,85,84
