,Age,Gender,Occupation
1,1,1,10
2,56,0,16
3,25,0,15
4,45,0,7
5,25,0,20
6,50,1,9
7,35,0,1
8,25,0,12
9,25,0,17
10,35,1,1
11,25,1,1
12,25,0,12
13,45,0,1
14,35,0,0
15,25,0,7
16,35,1,0
17,50,0,1
18,18,1,3
19,1,0,10
20,25,0,14
21,18,0,16
22,18,0,15
23,35,0,0
24,25,1,7
25,18,0,4
26,25,0,7
27,25,0,11
28,25,1,1
29,35,0,7
30,35,1,7
31,56,0,7
32,25,1,0
33,45,0,3
34,18,1,0
35,45,0,1
36,25,0,3
37,25,1,9
38,18,1,4
39,18,0,4
40,45,0,0
41,18,1,4
42,25,0,8
43,25,0,12
44,45,0,17
45,45,1,16
46,18,0,19
47,18,0,4
48,25,0,4
49,18,0,12
50,25,1,2
51,1,1,10
52,18,0,4
53,25,0,0
54,50,0,1
55,35,1,12
56,35,0,20
57,18,0,19
58,25,0,2
59,50,1,1
60,50,0,1
61,25,0,17
62,35,1,3
63,18,0,4
64,18,0,1
65,35,0,12
66,25,0,18
67,50,1,5
68,18,0,4
69,25,1,1
70,18,0,4
71,25,0,14
72,45,1,0
73,18,0,4
74,35,0,14
75,1,1,10
76,35,0,7
77,18,0,4
78,45,1,1
79,45,1,0
80,56,0,1
81,25,1,0
82,25,0,17
83,25,1,2
84,18,0,4
85,18,0,4
86,1,1,10
87,25,0,14
88,45,1,1
89,56,1,9
90,56,0,13
91,35,0,7
92,18,1,4
93,25,0,17
94,25,0,17
95,45,0,0
96,25,1,16
97,35,1,3
98,35,1,7
99,1,1,10
100,35,0,17
101,18,1,3
102,35,0,19
103,45,0,7
104,25,0,12
105,45,0,12
106,35,1,11
107,45,0,18
108,25,0,12
109,45,0,15
110,25,0,2
111,35,0,15
112,25,0,16
113,18,0,12
114,25,1,2
115,25,0,17
116,25,0,17
117,25,0,17
118,35,0,17
119,1,1,10
120,25,0,11
121,35,0,7
122,18,1,4
123,35,0,9
124,56,0,7
125,45,0,14
126,18,0,9
127,45,1,3
128,56,0,6
129,25,0,11
130,35,0,17
131,18,0,4
132,25,0,17
133,25,1,0
134,25,0,0
135,18,0,4
136,18,0,2
137,45,1,6
138,18,0,20
139,25,1,20
140,35,1,1
141,35,0,13
142,25,0,7
143,18,0,3
144,25,0,17
145,18,0,4
146,35,1,20
147,18,0,4
148,50,0,17
149,25,0,1
150,35,0,7
151,25,1,20
152,18,0,4
153,1,0,10
154,50,0,20
155,35,0,12
156,45,1,7
157,35,0,16
158,56,0,7
159,45,1,0
160,35,0,7
161,45,0,16
162,18,1,4
163,18,0,4
164,56,1,13
165,18,0,16
166,18,0,4
167,25,1,11
168,50,1,0
169,25,0,7
170,25,0,11
171,50,1,17
172,25,0,3
173,25,0,0
174,25,0,16
175,25,1,2
176,18,1,3
177,50,0,1
178,56,0,17
179,25,0,0
180,45,0,12
181,18,0,17
182,18,0,4
183,45,1,1
184,25,1,0
185,45,0,0
186,18,0,5
187,45,1,1
188,56,0,16
189,18,0,0
190,25,0,17
191,18,0,4
192,18,0,1
193,45,1,15
194,1,1,10
195,25,0,12
196,35,1,9
197,18,0,14
198,25,0,12
199,18,0,4
200,18,1,4
201,35,1,2
202,18,0,4
203,18,1,4
204,25,0,7
205,35,0,12
206,25,0,17
207,25,0,12
208,35,0,17
209,35,0,1
210,1,1,10
211,45,0,17
212,25,0,16
213,18,1,4
214,18,0,20
215,35,0,14
216,45,0,13
217,18,0,4
218,35,0,14
219,25,1,4
220,25,0,12
221,25,1,0
222,25,0,1
223,25,0,17
224,18,1,4
225,25,0,7
226,35,0,1
227,35,0,20
228,25,0,15
229,18,0,10
230,45,0,1
231,25,0,3
232,25,0,20
233,45,1,20
234,35,0,7
235,25,0,0
236,25,0,5
237,25,0,6
238,50,1,7
239,18,0,19
240,50,0,17
241,35,0,20
242,18,1,4
243,25,0,16
244,50,0,7
245,35,0,16
246,18,1,4
247,25,0,17
248,18,0,17
249,18,1,14
250,35,0,16
251,56,0,17
252,25,0,12
253,25,1,11
254,35,0,17
255,35,0,0
256,45,0,16
257,18,0,18
258,25,0,7
259,25,0,1
260,18,0,19
261,25,0,20
262,25,1,1
263,25,1,7
264,35,0,0
265,35,1,7
266,35,0,11
267,45,0,12
268,18,1,12
269,25,0,2
270,50,0,14
271,18,0,4
272,18,0,0
273,18,0,4
274,18,0,4
275,25,0,0
276,45,0,16
277,35,1,1
278,45,0,18
279,25,0,14
280,50,0,7
281,35,1,0
282,25,0,17
283,25,0,0
284,25,0,12
285,35,1,0
286,25,0,1
287,50,0,13
288,25,1,12
289,25,1,0
290,25,1,20
291,35,0,12
292,35,0,7
293,56,0,1
294,45,1,9
295,18,0,0
296,50,0,5
297,18,0,2
298,18,1,4
299,25,0,12
300,25,0,7
301,18,0,4
302,18,0,4
303,25,0,7
304,25,0,0
305,18,1,0
306,18,0,0
307,50,0,16
308,25,0,2
309,25,0,4
310,18,1,4
311,18,0,4
312,50,1,2
313,18,1,4
314,56,1,9
315,56,1,1
316,56,0,13
317,35,0,7
318,56,1,13
319,50,1,6
320,35,0,6
321,18,0,4
322,56,0,17
323,45,0,12
324,35,0,17
325,50,1,3
326,50,0,11
327,35,0,18
328,35,0,12
329,35,0,7
330,56,0,7
331,25,0,7
332,50,0,1
333,35,0,2
334,56,1,2
335,35,0,18
336,18,0,0
337,18,0,19
338,35,0,7
339,50,0,7
340,25,1,3
341,56,1,13
342,18,0,12
343,35,1,3
344,35,0,14
345,25,0,12
346,25,1,0
347,56,1,1
348,50,0,7
349,1,0,10
350,45,0,20
351,18,0,4
352,18,0,4
353,35,1,7
354,35,0,1
355,18,0,3
356,56,0,20
357,18,0,0
358,56,1,1
359,25,0,17
360,35,0,17
361,25,1,14
362,35,0,20
363,18,0,10
364,35,1,1
365,18,1,4
366,50,0,15
367,50,0,12
368,25,0,0
369,35,0,1
370,18,0,17
371,18,0,4
372,18,1,4
373,25,1,2
374,35,1,14
375,25,0,2
376,35,0,1
377,25,0,17
378,18,1,0
379,35,1,1
380,25,0,2
381,35,0,17
382,35,1,20
383,25,1,7
384,25,0,11
385,25,0,6
386,25,0,0
387,35,1,7
388,25,1,0
389,25,0,6
390,25,0,4
391,45,0,11
392,18,0,7
393,35,0,17
394,18,0,0
395,18,0,5
396,25,0,1
397,35,0,17
398,25,0,17
399,35,1,6
400,18,1,3
401,18,0,0
402,25,0,11
403,18,0,4
404,18,0,4
405,56,0,1
406,25,0,20
407,18,0,17
408,25,0,11
409,18,0,12
410,25,1,1
411,45,1,1
412,35,0,15
413,25,0,11
414,25,0,0
415,35,1,0
416,45,0,14
417,25,1,0
418,25,1,3
419,18,0,3
420,35,0,1
421,45,1,3
422,56,0,17
423,18,0,4
424,25,0,17
425,25,0,12
426,18,0,4
427,35,0,12
428,18,1,4
429,18,0,0
430,18,1,10
431,18,0,10
432,45,0,16
433,50,0,6
434,45,1,3
435,25,0,7
436,18,0,4
437,35,0,17
438,18,0,11
439,35,0,14
440,56,0,1
441,35,0,1
442,25,0,1
443,25,0,3
444,56,0,0
445,45,0,12
446,50,1,0
447,45,1,11
448,25,0,17
449,25,0,7
450,45,0,1
451,56,0,13
452,50,0,17
453,18,0,4
454,25,0,20
455,35,1,2
456,35,0,0
457,18,0,4
458,50,0,16
459,18,1,4
460,45,0,18
461,50,0,7
462,18,0,16
463,25,0,7
464,18,1,4
465,18,0,19
466,25,0,5
467,35,1,3
468,1,1,10
469,35,0,6
470,1,1,10
471,35,0,7
472,35,0,0
473,18,1,4
474,25,0,17
475,25,1,2
476,35,0,0
477,35,0,14
478,50,0,16
479,25,0,12
480,18,1,4
481,45,0,7
482,25,0,14
483,18,0,12
484,1,1,10
485,56,0,7
486,56,0,0
487,35,1,17
488,25,0,12
489,18,0,4
490,1,0,10
491,18,0,4
492,25,0,12
493,50,0,7
494,35,1,0
495,18,0,10
496,18,0,4
497,25,1,17
498,35,0,17
499,25,1,1
500,18,1,2
501,25,0,2
502,35,0,6
503,35,0,11
504,25,0,2
505,35,0,17
506,25,0,16
507,25,1,0
508,25,0,12
509,25,0,2
510,18,0,12
511,45,1,4
512,35,0,0
513,25,0,0
514,25,0,2
515,25,0,1
516,56,1,14
517,25,1,14
518,35,1,12
519,35,1,14
520,35,1,20
521,56,0,7
522,25,0,12
523,50,0,7
524,18,0,0
525,35,0,6
526,45,0,17
527,25,1,2
528,18,1,17
529,35,0,12
530,25,0,2
531,18,1,14
532,25,0,7
533,25,0,12
534,25,0,15
535,35,0,6
536,25,0,20
537,45,0,14
538,56,0,16
539,25,0,2
540,18,0,1
541,18,1,4
542,18,0,4
543,25,0,5
544,35,0,12
545,35,0,17
546,25,1,0
547,35,0,12
548,35,1,16
549,25,0,6
550,45,0,8
551,35,0,20
552,50,0,18
553,25,0,2
554,25,0,12
555,18,0,4
556,25,1,9
557,56,0,1
558,35,0,20
559,25,1,7
560,45,0,15
561,18,1,14
562,35,0,20
563,25,0,4
564,45,0,1
565,25,0,16
566,25,0,17
567,35,0,20
568,50,1,17
569,18,1,4
570,25,0,4
571,50,0,5
572,18,0,4
573,35,1,2
574,25,0,19
575,25,0,12
576,45,1,15
577,35,0,0
578,18,0,17
579,25,0,5
580,1,0,10
581,50,0,14
582,18,0,4
583,25,1,0
584,25,1,0
585,18,0,1
586,35,0,14
587,25,0,20
588,25,1,11
589,18,0,2
590,35,1,6
591,25,0,0
592,18,0,0
593,50,1,1
594,56,1,13
595,25,0,7
596,25,1,1
597,35,0,12
598,35,0,7
599,50,0,6
600,35,0,17
601,18,1,20
602,56,1,6
603,25,1,6
604,45,0,17
605,18,1,4
606,1,1,10
607,25,0,0
608,18,0,4
609,25,0,7
610,25,0,4
611,35,0,0
612,50,0,7
613,35,0,20
614,35,0,1
615,50,0,17
616,25,0,7
617,25,1,7
618,25,0,0
619,18,1,1
620,18,0,0
621,18,0,4
622,25,0,0
623,25,0,17
624,25,0,1
625,35,1,12
626,18,0,4
627,50,0,2
628,35,1,0
629,1,1,10
630,35,1,14
631,35,0,17
632,45,0,17
633,25,0,17
634,1,1,10
635,56,0,17
636,18,0,20
637,35,0,12
638,25,0,6
639,45,0,17
640,18,0,4
641,35,1,0
642,35,1,1
643,25,0,2
644,25,0,20
645,35,0,20
646,35,0,7
647,35,0,12
648,25,1,12
649,25,0,4
650,25,0,17
651,35,0,7
652,18,0,20
653,56,0,13
654,50,0,7
655,25,1,2
656,45,1,16
657,50,1,13
658,25,1,0
659,25,1,0
660,45,0,16
661,45,0,1
662,18,0,4
663,25,1,7
664,35,0,18
665,18,0,2
666,18,1,0
667,25,0,18
668,25,1,3
669,25,0,17
670,25,0,12
671,18,0,4
672,35,0,7
673,25,0,20
674,25,0,17
675,25,0,20
676,18,0,16
677,50,0,2
678,25,0,0
679,35,0,16
680,25,0,12
681,35,0,7
682,25,0,4
683,25,0,4
684,25,0,4
685,25,0,4
686,18,0,4
687,25,1,7
688,56,0,13
689,50,1,0
690,25,0,12
691,35,0,11
692,25,1,0
693,35,0,12
694,18,0,4
695,18,1,1
696,25,0,12
697,50,1,6
698,18,0,4
699,18,0,0
700,50,0,17
701,18,1,4
702,35,0,7
703,56,1,1
704,35,1,8
705,25,0,4
706,35,0,20
707,35,0,7
708,25,0,0
709,18,0,0
710,25,0,20
711,25,0,18
712,25,0,0
713,35,0,7
714,18,0,4
715,18,0,0
716,18,0,4
717,25,0,11
718,18,0,2
719,1,0,0
720,18,0,0
721,35,1,9
722,25,0,12
723,25,0,12
724,50,0,13
725,56,0,11
726,25,1,9
727,35,0,11
728,25,0,6
729,35,0,12
730,25,0,0
731,45,0,3
732,25,0,7
733,35,0,16
734,25,0,7
735,25,0,14
736,18,0,12
737,1,0,19
738,18,0,17
739,35,0,12
740,25,0,14
741,25,0,5
742,18,0,0
743,1,1,2
744,25,0,17
745,1,0,10
746,18,1,19
747,18,0,4
748,25,0,0
749,35,0,18
750,35,1,9
751,25,1,17
752,25,1,3
753,1,0,10
754,35,0,7
755,35,1,0
756,35,0,0
757,25,0,12
758,35,0,7
759,56,1,3
760,56,0,15
761,18,0,7
762,1,0,10
763,18,0,10
764,18,0,20
765,25,0,17
766,25,1,7
767,25,0,12
768,25,0,12
769,45,0,17
770,18,0,4
771,50,1,1
772,18,0,12
773,25,0,6
774,18,0,4
775,1,0,17
776,25,1,3
777,18,0,19
778,18,0,17
779,25,0,0
780,25,0,17
781,18,0,4
782,56,0,1
783,25,0,4
784,18,0,0
785,18,0,19
786,25,0,0
787,18,0,4
788,25,0,0
789,18,0,1
790,25,0,17
791,35,0,7
792,25,0,17
793,35,1,14
794,50,0,20
795,35,1,14
796,50,0,6
797,50,1,7
798,25,1,20
799,25,1,5
800,35,1,12
801,25,1,20
802,25,0,16
803,18,0,4
804,25,0,20
805,35,0,12
806,35,0,0
807,18,0,4
808,25,0,7
809,25,0,17
810,25,0,12
811,50,0,0
812,25,0,6
813,18,0,4
814,18,1,4
815,25,0,4
816,45,0,0
817,18,0,4
818,18,0,4
819,35,0,7
820,35,0,7
821,18,0,2
822,25,1,1
823,25,0,0
824,35,0,12
825,56,0,1
826,35,1,1
827,45,0,2
828,18,0,4
829,1,0,19
830,35,0,7
831,45,1,0
832,18,0,2
833,35,0,7
834,35,1,12
835,56,0,0
836,25,0,11
837,56,0,7
838,50,0,17
839,25,0,0
840,25,1,3
841,50,1,14
842,18,1,0
843,25,0,7
844,25,0,0
845,18,1,0
846,25,0,5
847,25,1,7
848,25,0,15
849,25,0,3
850,35,0,0
851,18,0,4
852,25,0,5
853,25,0,17
854,25,1,16
855,18,1,2
856,45,1,6
857,35,0,17
858,35,0,14
859,25,0,12
860,18,0,0
861,25,0,7
862,35,0,7
863,25,0,7
864,25,1,0
865,35,0,1
866,1,0,10
867,45,0,12
868,50,0,17
869,18,0,20
870,25,1,1
871,1,0,10
872,50,0,1
873,56,0,6
874,45,0,15
875,1,0,10
876,25,0,4
877,25,0,0
878,18,0,2
879,45,0,16
880,35,0,17
881,18,0,14
882,18,0,2
883,35,1,14
884,1,0,10
885,35,0,0
886,56,1,0
887,56,1,16
888,1,1,10
889,45,0,20
890,18,0,4
891,25,0,1
892,35,0,0
893,50,1,6
894,18,0,4
895,50,0,1
896,18,0,15
897,25,0,6
898,25,0,7
899,25,1,1
900,56,1,13
901,56,1,0
902,56,0,0
903,56,0,13
904,35,0,20
905,45,1,12
906,1,0,10
907,45,1,6
908,50,1,1
909,45,0,7
910,50,1,0
911,50,0,0
912,35,1,2
913,25,0,0
914,35,1,9
915,25,0,7
916,25,1,1
917,50,0,6
918,45,1,1
919,35,1,1
920,18,0,4
921,25,0,17
922,56,0,16
923,25,0,7
924,50,0,17
925,35,1,3
926,1,0,10
927,25,1,20
928,56,1,16
929,25,0,15
930,25,0,5
931,56,1,1
932,35,1,6
933,45,0,1
934,35,1,7
935,35,0,14
936,18,0,4
937,25,0,15
938,25,1,1
939,25,1,20
940,1,0,10
941,18,0,20
942,50,1,6
943,45,1,12
944,35,0,0
945,45,0,7
946,35,0,7
947,18,0,0
948,56,0,12
949,50,0,17
950,35,0,7
951,45,0,2
952,56,0,16
953,50,0,20
954,25,1,0
955,50,1,7
956,35,0,1
957,35,0,1
958,35,0,2
959,50,0,11
960,1,0,10
961,18,0,10
962,25,1,1
963,25,0,0
964,25,0,7
965,56,0,7
966,56,0,2
967,18,1,0
968,50,0,12
969,25,1,11
970,25,0,0
971,25,0,12
972,45,0,1
973,25,1,1
974,35,0,19
975,35,0,0
976,35,0,14
977,25,0,2
978,18,0,0
979,1,0,10
980,25,0,6
981,25,0,20
982,25,1,9
983,25,1,16
984,50,0,16
985,25,0,4
986,56,1,0
987,35,1,17
988,50,0,11
989,50,0,0
990,18,0,6
991,25,1,9
992,35,1,3
993,25,0,0
994,18,0,2
995,18,1,4
996,25,0,17
997,1,0,19
998,45,0,20
999,25,0,15
1000,25,1,6
1001,25,0,4
1002,50,0,11
1003,25,0,2
1004,25,0,3
1005,35,0,11
1006,18,0,4
1007,50,0,12
1008,35,0,3
1009,50,0,7
1010,25,0,0
1011,25,0,8
1012,35,1,1
1013,56,0,13
1014,45,1,17
1015,35,0,3
1016,56,0,16
1017,35,0,0
1018,18,0,4
1019,35,0,1
1020,18,0,20
1021,35,0,0
1022,25,0,3
1023,56,0,13
1024,35,1,1
1025,25,0,16
1026,45,1,0
1027,18,0,4
1028,45,1,7
1029,25,0,0
1030,25,0,7
1031,35,0,16
1032,50,0,16
1033,25,0,5
1034,35,1,1
1035,18,0,2
1036,35,0,7
1037,45,0,7
1038,56,1,15
1039,35,1,1
1040,25,0,11
1041,45,0,2
1042,35,0,5
1043,50,1,11
1044,25,0,20
1045,1,1,10
1046,56,0,18
1047,18,0,0
1048,35,0,6
1049,45,0,14
1050,25,0,1
1051,25,1,0
1052,35,1,2
1053,35,0,0
1054,1,0,10
1055,35,0,0
1056,1,0,0
1057,45,0,17
1058,25,0,1
1059,25,1,0
1060,18,0,10
1061,45,0,0
1062,50,0,19
1063,35,0,7
1064,25,0,7
1065,25,1,0
1066,45,0,12
1067,35,0,12
1068,18,1,4
1069,25,0,20
1070,45,1,2
1071,50,0,16
1072,35,1,7
1073,25,1,6
1074,45,0,17
1075,25,1,6
1076,25,1,3
1077,25,0,3
1078,45,1,9
1079,25,0,7
1080,56,0,7
1081,18,0,4
1082,45,0,7
1083,56,0,0
1084,1,0,19
1085,25,0,7
1086,18,0,4
1087,25,0,16
1088,1,1,10
1089,35,0,6
1090,25,0,7
1091,18,0,5
1092,18,1,4
1093,50,0,14
1094,18,1,0
1095,56,1,6
1096,1,0,10
1097,18,0,17
1098,35,0,7
1099,25,0,17
1100,25,0,0
1101,35,0,1
1102,18,0,1
1103,45,1,7
1104,35,0,11
1105,35,0,6
1106,18,0,4
1107,50,1,1
1108,56,0,1
1109,18,0,10
1110,56,1,6
1111,50,1,16
1112,18,0,6
1113,18,0,4
1114,18,1,9
1115,25,1,1
1116,25,0,15
1117,18,0,14
1118,50,0,13
1119,35,0,1
1120,18,0,4
1121,56,0,7
1122,56,0,14
1123,50,0,0
1124,25,0,2
1125,18,1,4
1126,56,0,16
1127,25,0,0
1128,25,0,1
1129,35,0,17
1130,18,0,7
1131,56,0,13
1132,18,0,12
1133,18,0,2
1134,18,0,20
1135,50,0,13
1136,35,1,7
1137,18,0,4
1138,18,0,12
1139,25,0,1
1140,45,1,2
1141,25,1,3
1142,18,0,1
1143,50,0,7
1144,25,0,7
1145,50,0,3
1146,18,1,16
1147,25,0,20
1148,35,0,17
1149,25,0,12
1150,25,1,20
1151,25,0,15
1152,18,0,4
1153,18,0,10
1154,1,1,10
1155,25,0,12
1156,50,1,2
1157,45,0,7
1158,35,1,1
1159,18,0,0
1160,18,0,14
1161,25,0,0
1162,35,1,0
1163,1,0,10
1164,25,1,19
1165,25,0,12
1166,56,0,6
1167,50,1,1
1168,25,1,0
1169,25,0,20
1170,56,0,3
1171,45,0,12
1172,25,1,0
1173,25,1,7
1174,18,1,16
1175,25,1,2
1176,56,0,1
1177,25,1,17
1178,56,0,0
1179,50,0,1
1180,50,1,20
1181,35,0,7
1182,1,0,10
1183,35,0,19
1184,25,1,4
1185,35,1,1
1186,18,0,19
1187,1,1,0
1188,45,0,7
1189,25,0,0
1190,45,0,0
1191,35,1,0
1192,50,0,16
